Setpoint;Output
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
0 ; 0 
